username;caption;tag;tagId;link
"rebelle_renegade_truthteller";"Truth!\n#ignorance #trump #education #society #evolution #politics #anonymous #uselections #wakeup #indoctrination #brainwashing #idiots #fearpolitics";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1389451_537326403105329_1295488582_n.jpg?ig_cache_key=MTIxMjUzMjAxNTQ3NDY3MDY3MQ%3D%3D.2.l"
"nigerianbulletin";"Donald Trump and Hillary Clinton notched convincing victories in Arizona, picking up the biggest prize on Western Tuesday that moved the front-runners ever closer to a general election clash.\n\nThe Arizona wins handed enough delegates to Trump and Clinton to help them maintain their leads in the delegate count despite victories from their primary competitors.\n\nBernie Sanders won morale-boosting Democratic victories in Utah and Idaho while Ted Cruz came out on top in the Utah Republican caucuses.\n\nBut the big win for Cruz was meeting the 50% threshold in Utah, according to a CNN projection, that hands him all of the state's 40 delegates. The Texas senator needed a win of that magnitude to avoid falling further behind Trump in the GOP delegate race\n\n#NBNews #nigerianbulletin #uselections #donaldtrump #hillaryclinton #arizona tedcruz #berniesanders";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12783831_1139764256067811_339474178_n.jpg?ig_cache_key=MTIxMjIzMzI4MjY4OTc5MzAxNg%3D%3D.2"
"the_slavica";"😂❤️ #nevergonnagiveyouup #rickastley #elections #music #80s #throwback #gold #uselections";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11417476_197680907275495_819650203_n.jpg?ig_cache_key=MTIxMjE3NTI3MzI5OTc4NTk1MQ%3D%3D.2.l"
"expatmom_uae";"#32DaysOfJoy: This hashtag is bringing me joy. 🔥🔥🔥🔥#FeeltheBERN 🔥🔥🔥🔥 The elections are right around the corner in USA. Undecided, but so far I'm just beginning to key into this campaign. #berniesanders #berniesanders2016 #feelthebern2016 #USelections #2016elections #undecided";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/11379974_984539598307675_1867628687_n.jpg?ig_cache_key=MTIxMjE0ODcwMzA5MDI4MjM4Mg%3D%3D.2"
"ashleyjouharphotography";"#hilaryclinton #uselections #jfk #newyorkcity #airport @ashleyjouharphotography #streetphotography #trump2016 #trump #clinton #";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/12751199_576934759128700_265237883_n.jpg?ig_cache_key=MTIxMTY5ODMyMTE0NDc3NDU3Mw%3D%3D.2"
"jaimater";"Narf!!! #trump #palin #uselections  #pinkyandthebrain";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/12677357_1103713883008152_1713347823_n.jpg?ig_cache_key=MTIxMTY2NDAwOTEzNjA1NjkzMA%3D%3D.2"
"hashtag_tina";"#fols #politics #uselections";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/11287886_215366885487242_178384924_n.jpg?ig_cache_key=MTIxMTI4MTkwNTg2NjcxMDQ0MA%3D%3D.2"
{"username":"lastweektonight","username":"iamjohnoliver","username":"faizayousuf"};"Watching the latest episode of #lastweektonightwithjohnoliver. \nHe's brilliant! 😂\n\n#satire #johnoliver #lastweektonight #journalism #uselections #nevertrump #humor #news #currentaffairs";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/10683774_1545329759100219_2110343093_n.jpg?ig_cache_key=MTIxMDg3NTkyMTA0ODQwMDAxMw%3D%3D.2"
"nasoweseeam";"Is a #UnitedWhiteStatesOfAmerica possible? #WhatIfTrumpWins the #uselections Some white folk seem to have forgotten that they were once aliens in America #nasoweseeam #politics #usnews #uspoliticians #uspoliticsareajoke #trump2016 #donaldtrump #gop #republicans #cartoons #politicalcartoon #politicalcartoonist";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/917562_1538134796480573_1334679855_n.jpg?ig_cache_key=MTIxMDg3MTk2MDAwNjYyMzM2Mg%3D%3D.2"
{"username":"life","username":"ivankatrump","username":"marcorubiofla","username":"foxnews","username":"nrawomen","username":"erictrump","username":"savethestorkspics","username":"realdonaldtrump","username":"prolifechristian","username":"donaldjtrumpjr","username":"sentedcruz","username":"nranews","username":"realbencarson","username":"nrafamily","username":"cruzforpresident","username":"hillaryclinton","username":"trump_2016","username":"trumpwns","username":"berniesanders","username":"jeanettedrubio","username":"marcorubio.usa"};"\"All human life is worthy of protection, irrespective of the circumstances in which that human life was created.\" -Marco Rubio";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1515196_180046642380491_37779170_n.jpg?ig_cache_key=MTIxMDg3MDU2OTg3OTg0MjMzMQ%3D%3D.2.l"
"danimoramor22";"Politicians are, either we like it or not, a reflection of the society. #uselections #egomaniac #narcissism #usa";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12825998_921224521327736_382020431_n.jpg?ig_cache_key=MTIxMDgxNzY5NjQ5MzEwODU1Mg%3D%3D.2"
"misswynwood";"Flowers, bright colors, and the sun are just a few of the things showing it is the beginning of Spring. At the FAFA Island, Spring is beautiful. Come and join Miss Wynwood in this celebration.\rFlores, colores brillantes y sol son sólo algunas de las cosas que la primavera trae con ella. En la isla FAFA, la primavera es preciosa. Ven y acompaña a Miss Wynwood en esta celebración.\r#FAFA #Misswynwood #uselections #election2016 #springbreak";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/10354503_486871368164663_766337067_n.jpg?ig_cache_key=MTIxMDIxNTA1Nzg5Njg5OTYyMg%3D%3D.2"
"bbchindi";"Around one thousand protesters gathered at Trump Towers in New York to raise voice against US Presidential front runner Donald Trump and his policies. \nPicture by Salim Rizvi\n\n#DonaldTrump #Trump #USElections #Migrants #Muslims";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/1516048_1759508407613430_596507452_n.jpg?ig_cache_key=MTIwOTk5Njk0ODkzNTY4NDAxMg%3D%3D.2.l"
{"username":"usatf","username":"marcorubiofla","username":"marines_us","username":"realdonaldtrump","username":"marines","username":"usarmy","username":"millennials4rubio","username":"sentedcruz","username":"rubio_for_president","username":"cruzforpresident","username":"marcorubiousa","username":"marcorubio2k16","username":"hillaryclinton","username":"rufio_for_rubio","username":"marcorubio4prez","username":"berniesanders","username":"marco_rubio2016","username":"texansformarcorubio","username":"teammarcorubio","username":"marcoforpresident","username":"marcorubio.usa"};"\"Every single one of us is the descendant of a go-getter. Of dreamers and of believers.\" -Marco Rubio";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/11906290_223153314705919_1814598848_n.jpg?ig_cache_key=MTIwOTg5MjU0MjA2NDczMzM5Mw%3D%3D.2.l"
"cupofjoecanada";"#tedcruz #donaldtrump #marcorubio #uselections";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/1172654_1535488660085627_1281322340_n.jpg?ig_cache_key=MTIwOTcxNzIzMTk3NTg1NDg3MA%3D%3D.2.l"
"artfinder_com";"Art is turning political! What are your opinions on the US elections? Art by Chelsea Cody» http://artf.in/VbJXQQ";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10005175_465899410271180_1156205317_n.jpg?ig_cache_key=MTIwOTcxMTAyNDM5NjI3NjU5NA%3D%3D.2"
"j_money_17_";"Get it going. Great job #America lol #usa #elections #uselections #elections2016 #trump\n#sanders #batman \n#Clinton 🔫";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11247922_965301620213926_240135832_n.jpg?ig_cache_key=MTIwOTY2OTAzMzAyMjU5NjI5MQ%3D%3D.2"
{"username":"petersenforpresident","username":"sophisticated_eraser"};{};uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/12328216_1003096456436995_1211409267_n.jpg?ig_cache_key=MTIwOTYyNDg5MjEwMTEyMzY0Ng%3D%3D.2.l"
"hoppestrategia";"#Repost @newyorkermag with @repostapp.\n・・・\nHow should the media cover Donald Trump? Here’s one idea from Nick Bateman and Hallie Bateman. Click the link in our bio to see more. #Trump #uselections #media #coverage #politics #democracy #igersusa #presidential #campaign @newyorkermag";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12599493_1689436784640539_322284270_n.jpg?ig_cache_key=MTIwOTYyNjA0MzMzMDM3MTcyMA%3D%3D.2"
"news_page";"Protestors have shut down a highway leading to a @realdonaldtrump rally \n#uselection #uselections #election #election2016 #trump #donald #donaldtrump #highway #motorway #protest";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/e35/1516020_1085828884792376_90585844_n.jpg?ig_cache_key=MTIwOTU2Mjc4NDAwNTAxNDAyOA%3D%3D.2.l"
"nbhap";"The upcoming elections could be soooo easy... #NBHAP #elections2016 #USelections #rickastley #rickroll #rickroll #nevergonnagiveyouup #stoptrump";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/12822367_972267682848998_902084877_n.jpg?ig_cache_key=MTIwOTQzNzMzMjQ1NDY5NDAyMg%3D%3D.2"
"kathlascota";"@Regrann from @richardobarry - ...just saying...\nFurther hell would be unleashed when Trump wins\n#berniesanders #america #climatechange #uselections #usa";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11429732_102642853468055_642724207_n.jpg?ig_cache_key=MTIwOTM3NzI2MDc4MDM1NjY0Nw%3D%3D.2"
"sidharthjain28";"#world according to #donaldtrump #donald #worldmap #silly #funny #USElections #america #US #elections";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12818863_901557963299130_293768794_n.jpg?ig_cache_key=MTIwOTMwNTE5MjE0MTgxMjk2OA%3D%3D.2.l"
"dailytimes_lifestyle";"The swipe-based dating app BUMBLE will roll out its first filter pack this week with 2016 election themes. Bumble also plans to use the filters to release data on which political candidates are trending among the app's users. \n#Bumble #Filters #Elections #datingapp #USelections #International #follow4follow #political #Entertainment";uselections;1;"https://scontent.cdninstagram.com/t51.2885-15/s320x320/e35/1389023_192755484435594_478113245_n.jpg?ig_cache_key=MTIwOTI3ODk1ODgzMTk5OTE5Ng%3D%3D.2.l"
